,0
3431,154
3432,1-2
3433, İcra məmuru barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxsə ictimai işlərin həyata keçiriləcəyi yerlərin siyahısındakı yerlərdən birində işləmək üçün göndəriş verir
3434, İctimai işlərin həyata keçiriləcəyi yerlərlə bağlı hər hansı məlumat tələb edildikdə icra məmuru müvafiq icra hakimiyyəti orqanına bu barədə sorğu verir
3435, Sorğuya beş iş günündən gec olmayaraq cavab verilməlidir
3436,[157][157]154
3437,2
3438, Barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxs icra məmurunun icraata başlamaq haqqında qərar qəbul etdiyi gündən sonra ən geci on gün müddətində ictimai işlərin yerinə yetirilməsinə cəlb olunur
3439,154
3440,3
3441, İcra məmuru:[158][158]154
3442,3
3443,1
3444," barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilmiş şəxslərin qeydiyyatını aparır, onlara tənbehin icrasının qayda və şərtlərini izah edir;154"
3445,3
3446,2
3447," barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilmiş şəxslərə elektron nəzarət vasitəsini təqdim etməklə, həmin vasitəni ictimai işlərin yerinə yetirildiyi vaxtların cədvəlinə uyğun üzərlərində daşımalı, istifadə etməli olduqlarını, işlək vəziyyətdə saxlanılması üçün ona xidmət qaydalarını, habelə hər hansı müdaxilənin və ya elektron nəzarət vasitəsindən istifadədən imtina edilməsinin yolverilməzliyini izah edir və bu barədə protokol tərtib edir;154"
3448,3
3449,3
3450," barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilmiş şəxslərin davranışına, onların ictimai işlərin yerinə yetirilməli olduğu yerlərə vaxtında gəlmələrinə və həmin yerləri müəyyən olunmuş vaxtdan sonra tərk etmələrinə nəzarət edir;154"
3451,3
3452,4
3453," barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilmiş şəxslərin işləmiş olduğu vaxtın uçotunu aparır, ayda iki dəfədən az olmayaraq, şəxsin ictimai işləri yerinə yetirməli olduğu vaxtlarda həmin işlərin görüldüyü yerlərə baş çəkməklə protokol tərtib edir;154"
3454,3
3455,5
3456, ictimai işlər növündə inzibati tənbehin bu Məcəllə ilə müəyyən edilmiş qaydada həyata keçirilməsi üçün digər tədbirləri görür
3457,154
3458,4
3459," Barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxslər ictimai işləri yerinə yetirdikləri yerin müəssisədaxili intizam qaydalarına riayət etməli, əməyə vicdanla yanaşmalı, onlar üçün müəyyən olunmuş yerlərdə və məhkəmənin qərarında müəyyən olunmuş müddətdə işləməli və yaşayış yerini dəyişdikdə, bu barədə icra məmuruna məlumat verməlidirlər"
3460,154
3461,5
3462, Barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxsə əsas iş yerində növbəti məzuniyyətin verilməsi ictimai işlər növündə inzibati tənbehin icrasını dayandırmır
3463,154
3464,6
3465, İctimai işlər növündə inzibati tənbeh tətbiq etmə haqqında qərarın icrası zamanı bu Məcəllənin 28
3466,"4-cü maddəsində nəzərdə tutulmuş hallar yarandıqda, barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxs və ya onun qanuni nümayəndəsi qərarın icrasına xitam verilməsi barədə ərizə ilə məhkəməyə müraciət edə bilər"
3467,154
3468,7
3469, İctimai işlər növündə inzibati tənbehin müddəti saatla hesablanır
3470,154
3471,8
3472, İctimai işlər növündə inzibati tənbehin müddəti həftə ərzində on iki saatdan az olmayaraq müəyyən edilir
3473," İctimai işlər növündə inzibati tənbehin müddəti istirahət, səsvermə, iş günü hesab edilməyən bayram günlərində, ümumxalq hüzn günündə və barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxsin əsas işindən və ya təhsilindən asudə vaxtlarında dörd saatdan, iş günlərində isə iki saatdan, barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxsin razılığı ilə isə dörd saatdan çox ola bilməz"
3474," Üzrlü səbəblər olduqda, icra məmuru barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxsə həftə ərzində müəyyən olunmuş vaxtdan az işləməyə icazə verir"
3475,154
3476,9
3477," İşəgötürən ictimai işlərin həyata keçirilməsi üçün mövcud olan yerlər barədə müvafiq icra hakimiyyəti orqanına düzgün və tam məlumat verir, şəxs ictimai işlərin həyata keçiriləcəyi yerdə qəbul edilərək ictimai işə təhkim edildikdə, onun tərəfindən ictimai işlərin yerinə yetirilməli olduğu vaxtların cədvəlini tərtib edərək üç gündən gec olmayaraq icra məmuruna göndərir, barəsində bu tənbeh növü tətbiq edilən şəxslər üçün müəyyən edilmiş işin yerinə yetirilməsinə nəzarət edir, onların işlədikləri saatların uçotunu aparır və ictimai işləri yerinə yetirməkdən boyun qaçırma halları barədə dərhal icra məmuruna məlumat verir"
3478,[159][159]154
3479,10
3480," Barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxs ictimai işlər növündə inzibati tənbehin çəkilməsi qaydalarını pozduqda, icra məmuru ona məsuliyyət daşıyacağı barədə rəsmi xəbərdarlıq edir"
3481,154
3482,11
3483," Barəsində ictimai işlər növündə inzibati tənbeh tətbiq edilən şəxs ictimai işlər növündə inzibati tənbehin çəkilməsindən boyun qaçırdıqda, icra məmuru bu Məcəllənin 529"
3484,4-cü maddəsində nəzərdə tutulmuş inzibati xəta haqqında protokol tərtib edir
3485,  Maddə 155
3486, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma haqqında qərarın icrası 155
3487,1
3488, Əcnəbilər və ya vətəndaşlığı olmayan şəxslər Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma haqqında qərarda müəyyən olunmuş müddətdə ölkəni tərk etməlidirlər
3489,155
3490,2
3491, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma haqqında səlahiyyətli orqanların (vəzifəli şəxslərin) qərarı müvafiq icra hakimiyyəti orqanı tərəfindən icra edilir
3492,155
3493,3
3494," Əcnəbilər və ya vətəndaşlığı olmayan şəxslər Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma haqqında qərarın icrasından boyun qaçırdıqda və ya belə boyun qaçırmanı ehtimal etməyə kifayət qədər əsaslar olduqda, onlar Azərbaycan Respublikasının Miqrasiya Məcəlləsi ilə müəyyən olunmuş qaydada və müddətdə müvafiq icra hakimiyyəti orqanının qanunsuz miqrantların saxlanılması mərkəzlərinə yerləşdirilirlər"
3495,155
3496,4
3497," Əcnəbi və ya vətəndaşlığı olmayan şəxsin ölkədən getmək hüququ müvəqqəti məhdudlaşdırıldıqda, onun Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarılması məhdudlaşdırmaya səbəb olan hallar aradan qalxdıqdan sonra icra edilir"
3498,155
3499,5
3500, Azərbaycan Respublikasının ərazisindən inzibati qaydada çıxarılan əcnəbilərin və ya vətəndaşlığı olmayan şəxslərin çıxarılmasına görə xərclər onların öz üzərinə düşür
3501," Bu şəxslərin çıxarılması üçün onların vəsaiti olmadıqda, belə xərclərin ödənilməsi onları qəbul edən şəxslərin, idarə, müəssisə və təşkilatların, qəbul edən tərəf olmadıqda isə müvafiq icra hakimiyyəti orqanının üzərinə düşür"
3502,155
3503,6
3504," Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma haqqında qərar icra edildikdən sonra, çıxarma haqqında müvafiq qeyd aparılmaqla, həmin qərar onu qəbul etmiş səlahiyyətli orqana (vəzifəli şəxsə) qaytarılır"
3505,155
3506,7
3507, Azərbaycan Respublikasının hüdudlarından kənara inzibati qaydada çıxarma inzibati tənbeh tədbirinin tətbiqindən irəli gələn digər məsələlər bu Məcəllədə nəzərdə tutulan müddəalara zidd olmamaq şərti ilə Azərbaycan Respublikasının Miqrasiya Məcəlləsinə uyğun olaraq həll edilir
3508,  Maddə 156
3509, İnzibati həbs haqqında qərarın icrası 156
3510,1
3511, Hakim tərəfindən inzibati həbs haqqında qərar çıxarıldıqdan sonra həmin qərar dərhal icra edilir
3512,156
3513,2
3514," Barəsində inzibati həbs tətbiq edilmiş bu Məcəllənin 610—618-ci maddələrində göstərilən xətaları törətmiş şəxslər hauptvaxtda, digər şəxslər isə müvafiq icra hakimiyyəti orqanının müəyyən etdiyi yerlərdə mühafizə altında saxlanılır"
3515," İnzibati həbs haqqında qərar icra olunarkən, həbs edilənlər şəxsi axtarışdan keçirilir"
3516, İnzibati qaydada həbs edilmiş şəxslər məcburi dövlət daktiloskopik qeydiyyatından keçirilirlər
3517,[160][160] KMQ14156
3518,3
3519, Müddətli həqiqi hərbi xidmət hərbi qulluqçusunun inzibati həbs müddəti hərbi xidmət müddətinə daxil edilmir
3520,[161][161] Maddə 156-1
3521, İnzibati tənbeh tətbiq etmə zamanı elektron nəzarət vasitələrinin tətbiqi xüsusiyyətləri[162][162] 156-1
3522,1
3523, Barəsində ictimai işlər növündə inzibati tənbeh tətbiq olunmuş şəxslərə elektron nəzarət vasitələri tətbiq edilir
3524,156-1
3525,2
3526, Elektron nəzarət vasitələrinin tətbiqi qaydaları müvafiq icra hakimiyyəti orqanı tərəfindən müəyyən edilir
3527,156-1
3528,3
3529, Elektron nəzarət vasitələri tətbiq edilmiş şəxslərin müəyyən edilmiş vəzifələri yerinə yetirməsinə nəzarət icra məmurları tərəfindən həyata keçirilir
3530,156-1
3531,4
3532," Elektron nəzarət vasitələri tətbiq edilmiş şəxslərə elektron nəzarət vasitəsi təqdim olunur və həmin vasitənin işlək vəziyyətdə saxlanılması üçün ona xidmət qaydaları, hər hansı müdaxilənin yolverilməzliyi, həmçinin bu əməlin hüquqi nəticələri izah edilir və bu barədə protokol tərtib edilir"
3533,156-1
3534,5
3535," Elektron nəzarət vasitəsi tətbiq edilmiş şəxs həmin vasitəni zədələdikdə və ya digər üsulla yararsız vəziyyətə saldıqda, onun dəyəri həmin şəxsdən tutulur"
3536,  Xüsusi hissə VI BÖLMƏ İnzibati xətalar FƏSİL 20 Sağlamlıq əleyhinə olan inzibati xətalar Maddə 157
3537," Döymə Döymə və sair zorakı hərəkətlərlə qəsdən fiziki ağrı yetirməyə görə -üç yüz manatdan beş yüz manatadək məbləğdə cərimə edilir və ya işin hallarına görə, xətanı törədənin şəxsiyyəti nəzərə alınmaqla, iki ayadək müddətə inzibati həbs tətbiq olunur"
3538,"[163][163]Qeyd: Bu maddədə nəzərdə tutulmuş əməl sağlamlığa ağır, az ağır və ya yüngül zərər vurmaqla törədildikdə, Azərbaycan Respublikasının Cinayət Məcəlləsinin müvafiq maddələrinə əsasən cinayət məsuliyyətinə səbəb olur"
3539, Maddə 158
3540, Məişət zorakılığının qarşısının alınması haqqında qanunvericiliyin pozulması 158
3541,1
3542," Məişət zəminində iqtisadi xarakterli qanunsuz məhdudiyyətlərin tətbiqinə, yəni şəxs tərəfindən digər şəxsin onun mülkiyyətində, sərəncamında və ya istifadəsində olan əmlakdan, gəlirlərdən məhrum edilməsinə, iqtisadi asılılıq yaradılmasına, belə asılılığın saxlanılmasına və ya ondan sui-istifadə edilməsinə yönəlmiş hərəkətlərə görə-yüz manatdan üç yüz manatadək məbləğdə cərimə edilir"
3543,158
3544,2
3545," Məişət zəminində psixi zorakılığa, yəni şəxs tərəfindən digər şəxsə qəsdən psixi təzyiq göstərilməsinə və ya dözülməz psixi şərait yaradılmasına yönəlmiş hərəkətlərə görə-üç yüz manatdan beş yüz manatadək məbləğdə cərimə edilir"
3546,158
3547,3
3548, Məişət zorakılığından zərər çəkmiş şəxslərə qeyri-dövlət yardım mərkəzlərinin akkreditasiyadan keçmədən fəaliyyət göstərməsinə görə-otuz beş manatdan əlli manatadək məbləğdə cərimə edilir
3549,Qeyd:1
3550, Bu Məcəllənin 158
3551,1 və 158
3552,"2-ci maddələrində “şəxs” dedikdə, “Məişət zorakılığının qarşısının alınması haqqında” Azərbaycan Respublikası Qanununun 4-cü maddəsində nəzərdə tutulmuş şəxslər başa düşülür"
3553,2
3554, Bu Məcəllənin 158
3555,1 və 158
3556,2-ci maddələri həmin maddələrdə göstərilən əməllər Azərbaycan Respublikasının Cinayət Məcəlləsinin müvafiq maddələrinə əsasən cinayət məsuliyyətinə səbəb olmadıqda tətbiq edilir
3557,  Maddə 159
3558, Zöhrəvi xəstəliklərə yoluxmuş şəxsin müalicədən boyun qaçırması Zöhrəvi xəstəliklərə yoluxduğu barədə kifayət qədər məlumatı olan şəxsin tibb müəssisələri tərəfindən xəbərdarlıq edildikdən sonra da müalicədən boyun qaçırmasına görə-[164][164]yüz manatdan yüz əlli manatadək məbləğdə cərimə edilir
3559,  Maddə 160
3560, Zöhrəvi xəstəliklərə və ya insanın immunçatışmazlığı virusuna yoluxmuş şəxslə əlaqədə olmuş şəxsin müayinədən boyun qaçırması Zöhrəvi xəstəliklərə və ya insanın immunçatışmazlığı virusuna yoluxmuş şəxslə əlaqədə olmuş və müayinəyə ehtiyacı olan şəxsin tibb müəssisələri tərəfindən xəbərdarlıq edildikdən sonra da müayinədən boyun qaçırmasına görə-səksən manatdan yüz iyirmi manatadək məbləğdə cərimə edilir
3561,  Maddə 161
3562, Zöhrəvi xəstəliklərə və ya insanın immunçatışmazlığı virusuna yoluxma mənbəyinin gizlədilməsi 161
3563,1
3564," Zöhrəvi xəstəliyi olan şəxs tərəfindən yoluxma mənbəyinin, habelə onunla əlaqədə olub, zöhrəvi xəstəliklərə yoluxma təhlükəsi yaradan şəxsin adının gizlədilməsinə görə-yüz manatdan iki yüz manatadək məbləğdə cərimə edilir"
3565,161
3566,2
3567," İnsanın immunçatışmazlığı virusuna yoluxmuş şəxs tərəfindən yoluxma mənbəyinin, habelə onunla əlaqədə olub, insanın immunçatışmazlığı virusuna yoluxma təhlükəsi yaradan şəxsin adının gizlədilməsinə görə-iki yüz manatdan dörd yüz manatadək məbləğdə cərimə edilir"
3568,  Maddə 162
3569," Qanın, qan komponentlərinin donorluğu və qan xidməti haqqında qanunvericiliyin pozulması 162"
3570,1
3571," Donor olmaq istəyən şəxs tərəfindən əvvəllər keçirdiyi və hazırkı xəstəlikləri, həmçinin narkotik vasitələr və psixotrop maddələr qəbul edib-etməməsi barədə düzgün məlumatın verilməməsinə görə-otuz manatdan qırx manatadək məbləğdə cərimə edilir"
3572,162
3573,2
3574," Tibbi müayinə keçirilmədən donordan qanın, qan komponentlərinin götürülməsinə görə-fiziki şəxslər qırx manatdan əlli manatadək məbləğdə, vəzifəli şəxslər əlli manatdan altmış beş manatadək məbləğdə, hüquqi şəxslər yüz manatdan yüz əlli manatadək məbləğdə cərimə edilir"
3575,162
3576,3
3577," Müalicə müəssisələri tərəfindən qanın, qan komponentlərinin resipiyentə köçürülməsi nəticəsində baş verən hər hansı ciddi əlavə təsirlər barədə köçürülən qanın, qan komponentlərinin tədarükünü edən qan xidməti müəssisəsinə (qan bankına) və müvafiq icra hakimiyyəti orqanının müəyyən etdiyi orqanına (qurumuna) məlumat verilməməsinə görə-[165][165]fiziki şəxslər qırx manatdan əlli manatadək məbləğdə, vəzifəli şəxslər əlli manatdan altmış beş manatadək məbləğdə, hüquqi şəxslər yüz manatdan yüz əlli manatadək məbləğdə cərimə edilir"
3578,  Maddə 162-1
3579, İnsan orqan və toxumalarının donorluğu və transplantasiyası haqqında qanunvericiliyin pozulması162-1
3580,1
3581," Müvafiq icra hakimiyyəti orqanının müəyyən etdiyi orqanın (qurumun) təsdiq etdiyi siyahıya daxil olmayan tibb müəssisələri və digər şəxslər tərəfindən donor orqanların hazırlanması, saxlanması, daşınması, idxalı və ixracına görə –vəzifəli şəxslər üç min manatdan beş min manatadək məbləğdə, hüquqi şəxslər yeddi min manatdan on min manatadək məbləğdə cərimə edilir"
3582,162-1
3583,2
3584," Orqan donorluğu və transplantasiya zamanı meyit donorun qohumlarına münasibətdə resipiyentin, resipiyentə və onun qohumlarına münasibətdə meyit donorun anonimliyinin qorunmamasına görə –vəzifəli şəxslər beş yüz manat məbləğində, hüquqi şəxslər min manat məbləğində cərimə edilir"
3585,162-1
3586,3
3587," Canlı donordan transplantasiya məqsədilə donor orqanların götürülməsi zamanı “İnsan orqan və toxumalarının donorluğu və transplantasiyası haqqında” Azərbaycan Respublikasının Qanununda nəzərdə tutulmuş tələblərə əməl olunmamasına görə –vəzifəli şəxslər iki min manat məbləğində, hüquqi şəxslər beş min manat məbləğində cərimə edilir"
3588,162-1
3589,4
3590, Canlı donor tərəfindən özünün zərərli vərdişləri və ona məlum olan xəstəlikləri barədə məlumat verilməməsinə görə –beş yüz manatadək məbləğdə cərimə edilir
3591,162-1
3592,5
3593," Şəxsin ölümdən sonra orqanlarının transplantasiya məqsədilə götürülməsinə razılıq və ya orqanlarının götürülməsindən imtina barədə iradə ifadəsinin olmasına dair məlumatların yayılmasına görə –vəzifəli şəxslər min manat məbləğində, hüquqi şəxslər dörd min manat məbləğində cərimə edilir"
3594,Qeyd: Bu Məcəllənin 162-1
3595,1-ci və 162-1
3596,3-cü maddələri həmin maddələrdə göstərilən əməllər Azərbaycan Respublikası Cinayət Məcəlləsinin müvafiq maddələrinə əsasən cinayət məsuliyyətinə səbəb olmadıqda tətbiq edilir
3597,[166][166] Maddə 163
3598," Qeysəriyyə kəsiyi əməliyyatının qanunsuz aparılması Müvafiq icra hakimiyyəti orqanı tərəfindən müəyyən edilmiş tibbi əsaslar olmadan qeysəriyyə kəsiyi əməliyyatının aparılmasına görə-vəzifəli şəxslər beş min manatdan yeddi min manatadək məbləğdə, hüquqi şəxslər on min manatdan on beş min manatadək məbləğdə cərimə edilir"
3599,"  FƏSİL 21 Siyasi, sosial və əmək hüquqları əleyhinə olan inzibati xətalar Maddə 164"
3600, Seçkiqabağı və ya referendumla bağlı təşviqatın aparılması qaydalarının və müddətinin pozulması 164
3601,1
3602, Seçkiqabağı və ya referendumla bağlı təşviqatın aparılmasının Azərbaycan Respublikasının Seçki Məcəlləsi ilə müəyyən edilmiş qaydalarının və müddətinin pozulmasına görə-yüz manatdan yüz əlli manatadək məbləğdə cərimə edilir
3603, 164
3604,2
3605," Qeydə alınmış namizədə seçkiqabağı təşviqatın müddəti başa çatana kimi şərəf və ləyaqətini seçki qanunvericiliyi ilə müəyyən olunmuş teleradio verilişləri təşkilatlarının teleradio proqramlarında və dövri nəşrlərdə onların vəzifəli şəxsləri tərəfindən müdafiə etmək imkanının verilməməsinə görə -vəzifəli şəxslər yüz əlli manatdan iki yüz əlli manatadək məbləğdə, hüquqi şəxslər üç yüz manatdan dörd yüz əlli manatadək məbləğdə cərimə edilir"
3606, Maddə 165
3607," Təşviqat-nəşr materiallarını qəsdən məhv etmə və ya namizədin seçicilərlə görüşünə mane olma Mülkiyyətçinin və ya obyekt sahibinin razılığı ilə seçkiqabağı təşviqat materiallarının yerləşdirilməsi üçün nəzərdə tutulan yerlərdə asılmış seçkiqabağı (referendumqabağı) təşviqat plakatlarını və digər belə təşviqat materiallarını məhv etməyə, korlamağa və ya təşviqat materiallarının yayılmasına mane olmağa, yaxud namizədin seçicilərlə görüşünə mane olmağa görə-altı yüz manatdan səkkiz yüz manatadək məbləğdə cərimə edilir"
3608,  Maddə 166
3609, Namizəd haqqında bilərəkdən yalan məlumatlar yayma Seçkinin nəticəsinə təsir göstərmək məqsədi ilə deputatlığa və ya seçkili orqana (vəzifəyə) namizəd haqqında bilərəkdən yalan məlumatlar dərc etməyə və ya onları başqa üsullarla yaymağa görə-yeddi yüz manatdan doqquz yüz manatadək məbləğdə cərimə edilir
3610,  Maddə 167
3611," Seçki (referendum) komissiyası üzvünün, müşahidəçilərin, vəkil edilmiş şəxslərin, namizədlərin, siyasi partiyaların, siyasi partiyaların bloklarının, referendum üzrə təşviqat qrupunun səlahiyyətli nümayəndələrinin, media nümayəndələrinin hüquqlarının pozulması Seçki (referendum) komissiyası üzvünün, müşahidəçilərin, vəkil edilmiş şəxslərin, namizədlərin, siyasi partiyaların, siyasi partiyaların bloklarının, referendum üzrə təşviqat qrupunun səlahiyyətli nümayəndələrinin, media nümayəndələrinin Azərbaycan Respublikasının Seçki Məcəlləsi ilə müəyyən edilmiş hüquqlarını, o cümlədən seçki sənədlərinin surətlərinin və məlumatların vaxtında alınması və seçki sənədlərinin surətlərinin təsdiqi ilə bağlı hüquqlarını pozmağa görə-yüz əlli manatdan üç yüz manatadək məbləğdə cərimə edilir"
3612,  Maddə 168
3613," Seçicilər haqqında məlumatların düzgün, tam və vaxtında verilməməsi Seçicilər haqqında məlumatları təqdim edən müvafiq icra hakimiyyəti orqanı tərəfindən həmin məlumatların düzgün, tam və vaxtında verilməməsinə görə -iki yüz manatdan üç yüz manatadək məbləğdə cərimə edilir"
3614,  Maddə 169
3615," Seçki bülletenlərinin, səsvermə protokollarının və vəsiqələrinin verilməsi və saxlanması qaydalarının pozulması Seçki komissiyalarının sədrləri tərəfindən seçki bülletenlərinin, səsvermə protokollarının və vəsiqələrinin verilməsi və saxlanması qaydalarının pozulmasına görə-xəbərdarlıq edilir və ya əlli manatdan yetmiş manatadək məbləğdə cərimə edilir"
3616,  Maddə 170
3617," Dövlət avtomatlaşdırılmış informasiya sistemindən istifadə qaydasının pozulması Səsvermə başlandıqdan sonra seçkilərin yekunları və səsvermənin nəticələri barədə protokollar imzalananadək yuxarı seçki komissiyalarının informasiya xidmətlərindən aşağı seçki komissiyalarının informasiya xidmətlərinə məlumatların qəbulunu təsdiq edən siqnallardan başqa hər hansı məlumatın verilməsinə görə -fiziki şəxslər iki yüz manatdan üç yüz manatadək məbləğdə, vəzifəli şəxslər dörd yüz manatdan altı yüz manatadək məbləğdə cərimə edilir"
3618,  Maddə 171
3619," Seçki (referendum) ilə əlaqədar hədə-qorxu və ya zorakılığa çağıran çıxışlar edilməsi, yaxud belə materialların yayılması Seçki (referendum) ilə əlaqədar hədə-qorxu və ya zorakılığa çağıran çıxışlar edilməsinə, yaxud belə materialların yayılmasına görə-altı yüz manatdan doqquz yüz manatadək məbləğdə cərimə edilir"
3620,  Maddə 172
3621, Seçicinin bilərəkdən birdən çox seçici siyahısına daxil edilməsi Seçicinin bilərəkdən birdən çox seçici siyahısına daxil edilməsinə görə -səkkiz yüz manatdan min manatadək məbləğdə cərimə edilir
3622,  Maddə 173
3623, Seçici siyahıları ilə vətəndaşların tanış olmaq hüququnun və digər hüquqlarının pozulması 173
3624,0
3625, Seçki (referendum) komissiyasının üzvü tərəfindən:173
3626,0
3627,1
3628, vətəndaşların seçici siyahıları (referendumda iştirak etmək hüququ olan vətəndaşların siyahısı) ilə tanış olmaq hüququnun pozulmasına;173
3629,0
3630,2
3631, seçici siyahılarındakı (referendumda iştirak etmək hüququ olan vətəndaşların siyahısındakı) yanlışlıqlar haqqında vətəndaşların ərizələrinə Azərbaycan Respublikasının Seçki Məcəlləsi ilə müəyyən edilmiş müddətdə baxılmamasına;173
3632,0
3633,3
3634, qeydiyyatdan keçmiş seçicilər barəsində məlumatların vaxtında rəsmiləşdirilməməsinə və dəqiqləşdirilməməsinə görə-yüz əlli manatdan iki yüz əlli manatadək məbləğdə cərimə edilir
3635,  Maddə 174
3636," Seçkilərdə (referendumda) iştirak etmək üçün məzuniyyət verilməsindən imtina etmə  Dövlət və ya yerli özünüidarəetmə orqanlarına seçkilərin hazırlanmasında və ya keçirilməsində onun iştirakının təmin edilməsi məqsədi ilə deputatlığa və ya seçkili orqana (vəzifəyə) qeydə alınmış namizədə, namizədin vəkilinə və ya seçki (referendum) komissiyasının üzvünə məzuniyyət verilməsindən imtina etməyə görə-iki min manatdan iki min beş yüz manatadək məbləğdə cərimə edilir"
3637,  Maddə 175
3638, Qeydə alınmış namizədin seçkilərdə iştirak etdiyi müddətdə xidməti vəzifələrinin icrasını dayandırmaması Dövlət və ya bələdiyyə xidmətində olan qeydə alınmış namizəd seçkilərdə iştirak etdiyi müddətdə xidməti vəzifələrinin icrasını dayandırmamasına görə-min beş yüz manatdan iki min manatadək məbləğdə cərimə edilir
3639,  Maddə 176
3640," Seçici imzalarının toplanması qaydasının pozulması Mülkiyyət formasından asılı olmayaraq hüquqi şəxslərin, dövlət və bələdiyyə orqanlarının, qurumların və təşkilatların seçici imzalarının toplanmasında iştirak etməsinə görə-vəzifəli şəxslər səkkiz yüz manatdan min manatadək məbləğdə, hüquqi şəxslər iki min manatdan üç min manatadək məbləğdə cərimə edilir"
3641,  Maddə 177
3642, Seçkilərin (referendumun) maliyyələşdirilməsi və ya maliyyə hesabatlarının təqdim edilməsi qaydalarının pozulması 177
3643,1
3644," Seçkilərin (referendumun) maliyyələşdirilməsinin Azərbaycan Respublikasının Seçki Məcəlləsi ilə müəyyən edilmiş qaydalarını pozmağa görə-fiziki şəxslər üç yüz manatdan beş yüz manatadək məbləğdə, vəzifəli şəxslər min beş yüz manatdan iki min manatadək məbləğdə, hüquqi şəxslər beş min manatdan yeddi min manatadək məbləğdə cərimə edilir"
3645, 177
3646,2
3647," Seçkilərin hazırlanmasına və keçirilməsinə ayrılmış vəsaitlərin xərclənməsi barədə namizədlər, qeydə alınmış namizədlər, siyasi partiyalar, siyasi partiyaların blokları, referendum üzrə təşviqat qrupları tərəfindən maliyyə hesabatlarının təqdim və ya dərc edilməməsinə görə-min manatdan iki min manatadək məbləğdə cərimə edilir"
3648,  Maddə 178
3649, Anonim təşviqat materiallarının və ya reklamların hazırlanması və yayılması qaydalarının pozulması 178
3650,1
3651," Seçkiqabağı və ya referendum ilə bağlı nəşr və audiovizual təşviqat materiallarında bu materialları hazırlayan və hazırlanmasını sifariş edən təşkilatların adı, materialların tirajı və buraxılış tarixi barədə məlumatların göstərilməməsinə görə-yüz əlli manatdan iki yüz manatadək məbləğdə cərimə edilir"
3652, 178
3653,2
3654," Siyasi partiyalar, siyasi partiyaların blokları, namizədlər və ya qeydə alınmış namizədlər barəsində reklamların hazırlanmasının və yayılmasının, yaxud xeyriyyə xidməti göstərilməsinin Azərbaycan Respublikasının Seçki Məcəlləsi ilə müəyyən edilmiş qaydalarının pozulmasına görə-yüz əlli manatdan üç yüz manatadək məbləğdə cərimə edilir"
3655, 178
3656,3
3657," Siyasi partiyaların, siyasi partiyaların bloklarının, namizədlərin və ya qeydə alınmış namizədlərin yazılı formada razılığı olmadan seçkiqabağı nəşr materiallarının hazırlanmasına, yaxud yayılmasına görə-iki yüz manatdan üç yüz manatadək məbləğdə cərimə edilir"
3658,  Maddə 179
3659, Səsvermənin nəticələri və ya seçkilərin yekunları haqqında məlumatın bilərəkdən təqdim edilməməsi və ya dərc olunmaması 179
3660,1
3661," Seçicilərin, qeydə alınmış namizədin, siyasi partiyaların, siyasi partiyaların bloklarının və namizədlərin vəkil edilmiş şəxslərinin, müşahidəçilərin, siyasi partiyaların, siyasi partiyaların bloklarının, referendum üzrə təşviqat qruplarının səlahiyyətli nümayəndələrinin, media nümayəndələrinin tələbi ilə onların tanış olmaları üçün müvafiq seçki komissiyasının sədrləri tərəfindən səsvermənin yekunlarına və nəticələrinə aid məlumatların bilərəkdən təqdim edilməməsinə görə-min beş yüz manatdan iki min manatadək məbləğdə cərimə edilir"
3662, 179
3663,2
3664, Səsvermənin yekunlarına və nəticələrinə aid məlumatların bilərəkdən Azərbaycan Respublikasının Seçki Məcəlləsində nəzərdə tutulmuş qaydada və müddətdə dərc edilməməsinə görə-iki min manatdan iki min beş yüz manatadək məbləğdə cərimə edilir
3665,  Maddə 179-1
3666, Azərbaycan Respublikası vətəndaşlarının qanunvericilik təşəbbüsü hüququndan istifadə etməsi qaydası haqqında qanunvericiliyin pozulması[167][167] 179-1
3667,1
